private_entity,label,external_uri,confidence,source
http://semanticweb.esilv.fr/aikg/Nguyen,Nguyen,http://www.wikidata.org/entity/Q37305156,1.0,api
http://semanticweb.esilv.fr/aikg/November_2023,November 2023,http://www.wikidata.org/entity/Q61312919,1.0,api
http://semanticweb.esilv.fr/aikg/November_of_2020,November of 2020,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Nuremberg,Nuremberg,http://www.wikidata.org/entity/Q2090,1.0,api
http://semanticweb.esilv.fr/aikg/Nvidia,Nvidia,http://www.wikidata.org/entity/Q182477,1.0,api
http://semanticweb.esilv.fr/aikg/Olivier,Olivier,http://www.wikidata.org/entity/Q16280379,1.0,api
http://semanticweb.esilv.fr/aikg/OpenAI,OpenAI,http://www.wikidata.org/entity/Q21708200,0.99,manual
http://semanticweb.esilv.fr/aikg/OpenAI_Alignment_Team,OpenAI Alignment Team,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/OpenAssistant,OpenAssistant,http://www.wikidata.org/entity/Q118176939,1.0,api
http://semanticweb.esilv.fr/aikg/OpenRAIL,OpenRAIL,http://www.wikidata.org/entity/Q56414866,0.889,api
http://semanticweb.esilv.fr/aikg/Open_Telemetry,Open Telemetry,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Optimum,Optimum,http://www.wikidata.org/entity/Q1186200,1.0,api
http://semanticweb.esilv.fr/aikg/PaLM,PaLM,http://www.wikidata.org/entity/Q16880920,1.0,api
http://semanticweb.esilv.fr/aikg/Paul,Paul,http://www.wikidata.org/entity/Q4925623,1.0,api
http://semanticweb.esilv.fr/aikg/Peter_Stone,Peter Stone,http://www.wikidata.org/entity/Q7177133,1.0,api
http://semanticweb.esilv.fr/aikg/Phi_2,Phi 2,http://www.wikidata.org/entity/Q124039587,0.95,api
http://semanticweb.esilv.fr/aikg/Prometheus,Prometheus,http://www.wikidata.org/entity/Q10354546,1.0,api
http://semanticweb.esilv.fr/aikg/Proprietary,Proprietary,http://www.wikidata.org/entity/Q311310,1.0,api
http://semanticweb.esilv.fr/aikg/PyTorch,PyTorch,http://www.wikidata.org/entity/Q47509047,1.0,api
http://semanticweb.esilv.fr/aikg/Python,Python,http://www.wikidata.org/entity/Q28865,1.0,api
http://semanticweb.esilv.fr/aikg/QLoRA,QLoRA,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/RL4LMs,RL4LMs,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/RLHF,RLHF,NEW,0.174,low_confidence
http://semanticweb.esilv.fr/aikg/Ramamurthy,Ramamurthy,http://www.wikidata.org/entity/Q7288859,1.0,api
http://semanticweb.esilv.fr/aikg/Ramona,Ramona,http://www.wikidata.org/entity/Q2130276,1.0,api
http://semanticweb.esilv.fr/aikg/Ranzato,Ranzato,http://www.wikidata.org/entity/Q99736502,1.0,api
http://semanticweb.esilv.fr/aikg/Reddit,Reddit,http://www.wikidata.org/entity/Q1136,1.0,api
http://semanticweb.esilv.fr/aikg/RefinedWeb,RefinedWeb,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/ResearchOrganization,Research Organization,http://www.wikidata.org/entity/Q136410232,1.0,api
http://semanticweb.esilv.fr/aikg/Robert_Kirk,Robert Kirk,http://www.wikidata.org/entity/Q121360752,1.0,api
http://semanticweb.esilv.fr/aikg/SFTTrainer,SFTTrainer,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/SWAG,SWAG,http://www.wikidata.org/entity/Q135268623,1.0,api
